is_female,study_hours_per_day,attendance_percentage,assignment_score,midterm_score,final_exam_score,participation_score,sleep_hours,target
0,4.54,69.98,36.47,70.7,53.1,17.96,08.09,52.348
1,5.26,84.8,34.25,27.92,87.17,11.29,4.73,53.948
0,8.69,73.76,72.29,70.92,99.61,76.1,8.73,8.203
0,04.06,45.0,97.63,31.73,88.85,33.55,8.22,66.411
0,8.83,51.13,65.19,78.28,54.23,88.99,8.59,6.560
1,1.79,53.16,33.61,54.26,79.79,58.23,5.43,593.525
0,7.99,55.47,45.49,87.83,67.37,53.07,5.68,65.489
0,8.63,73.92,47.14,95.69,85.06,79.55,6.35,7.846
0,2.64,70.24,53.65,56.28,40.72,76.7,5.12,53.746
1,4.87,52.19,33.05,59.54,74.67,73.38,6.33,60.186
0,2.49,44.05,93.34,69.26,84.16,72.09,04.05,77.053
0,7.36,50.29,66.09,39.78,83.29,56.39,8.39,629.825
0,5.82,99.06,76.97,94.55,97.45,93.38,4.81,9.238
0,6.72,68.11,34.7,57.47,34.09,90.16,6.5,49.066
1,2.77,92.04,33.79,37.51,54.2,39.65,8.64,48.274
0,2.91,90.93,71.05,82.2,63.36,82.42,8.1,7.427
1,1.37,70.69,92.11,41.44,51.68,90.2,7.88,62.959
1,3.9,82.4,66.99,35.76,51.69,65.64,07.03,552.335
1,06.04,51.57,91.45,67.22,42.33,60.0,6.18,61.67
0,8.72,81.3,86.77,75.36,86.91,70.47,6.23,8.178
1,7.0,56.34,35.31,67.72,93.56,24.68,4.43,64.84
0,4.92,89.92,44.14,74.24,35.76,17.86,4.32,50.682
1,9.58,45.02,76.04,33.66,40.84,83.81,8.22,50.800
1,7.47,86.39,61.05,60.7,45.99,61.6,06.04,58.280
1,9.37,46.0,50.35,51.78,65.63,21.03,4.27,52.688
1,5.75,92.87,59.3,98.0,85.38,47.47,7.32,80.277
1,3.33,58.25,61.16,28.72,35.0,36.84,7.42,41.171
1,1.48,79.26,93.74,47.37,74.58,88.79,5.14,734.985
1,7.53,69.25,37.24,95.64,40.45,55.65,06.05,580.055
1,02.09,61.98,49.58,98.76,98.0,61.98,6.87,8.130
0,3.72,78.73,67.63,86.87,92.91,31.18,6.98,78.753
0,5.79,96.85,78.88,30.7,96.47,81.92,6.56,750.925
1,06.08,42.48,74.14,67.1,37.43,93.71,5.82,583.225
1,6.41,95.13,95.91,55.01,64.16,81.32,4.34,730.355
1,2.5,76.54,85.69,85.48,41.57,54.36,4.11,6.614
0,4.42,88.44,69.0,29.13,72.02,85.16,6.3,63.649
1,6.55,63.03,45.03,39.78,46.29,26.92,05.01,4.414
0,9.73,68.31,61.56,61.69,83.94,20.21,8.69,659.655
0,7.55,92.13,78.54,36.82,75.08,49.44,7.2,65.348
0,9.3,64.89,88.66,76.95,70.01,26.34,6.93,70.596
0,7.86,72.08,97.18,86.56,87.77,33.32,06.03,823.355
0,6.33,41.21,72.38,77.84,65.02,62.66,5.65,67.08
1,2.73,49.52,66.88,58.02,48.89,46.35,4.9,54.579
1,7.0,78.5,31.24,90.88,73.45,87.93,4.3,713.185
1,6.61,83.02,35.05,35.33,96.99,30.31,7.17,6.112
1,6.42,74.96,40.93,44.53,72.08,99.71,7.9,620.135
1,5.41,48.6,33.83,61.72,74.07,42.35,8.29,5.721
0,5.76,66.72,58.06,29.6,95.43,56.39,7.62,647.235
1,04.01,61.31,53.58,32.18,66.07,21.91,8.48,502.075
1,5.67,69.74,74.61,54.81,99.75,62.14,8.91,76.725
0,2.78,92.22,67.5,95.79,41.18,96.52,8.81,707.345
1,8.25,86.55,71.72,93.13,67.59,77.45,6.96,77.683
0,2.67,45.04,63.04,59.95,44.9,31.96,5.12,5.101
1,1.76,93.42,49.44,35.66,61.73,49.84,4.53,547.345
0,4.93,68.31,96.7,38.36,41.94,48.29,8.97,55.269
1,6.92,84.63,36.05,53.32,45.58,18.82,5.54,46.837
1,4.94,48.4,95.72,40.76,44.76,89.73,4.17,58.813
0,3.49,80.24,51.79,31.22,52.4,44.33,5.96,48.96
0,06.02,54.18,65.89,75.53,39.42,54.48,7.74,567.235
0,4.12,66.3,37.62,68.61,86.65,36.21,8.45,6.525
0,9.4,41.01,34.97,46.85,45.45,23.72,6.39,41.86
0,9.3,49.1,60.07,83.42,59.16,91.19,5.47,67.604
0,5.52,45.52,81.92,83.2,31.12,13.37,7.89,53.964
0,3.95,54.38,48.86,61.83,37.34,45.99,6.52,4.833
0,7.63,46.0,69.36,32.24,92.74,75.76,4.43,66.567
1,1.33,81.51,49.51,93.89,88.6,37.8,8.44,7.631
1,5.27,41.74,57.2,75.15,88.86,50.14,7.28,7.51
0,04.03,77.06,93.45,43.53,58.79,60.8,4.18,63.935
1,9.28,48.44,89.91,70.78,39.91,99.56,04.05,644.455
1,1.11,96.71,66.12,55.38,37.55,78.25,4.44,577.075
1,5.98,95.99,46.67,72.65,72.39,97.04,8.11,72.136
1,7.67,53.53,43.52,60.54,87.97,72.38,6.41,672.195
0,5.37,76.87,96.79,61.41,93.01,34.21,5.68,7.837
1,1.77,41.68,44.19,80.19,50.21,35.87,5.25,54.214
0,9.75,95.91,86.57,71.03,52.47,84.02,6.53,71.429
1,5.66,71.38,55.83,31.0,37.06,48.49,4.42,43.874
1,6.53,42.59,99.0,29.9,84.21,43.32,07.09,6.533
1,3.13,60.55,55.77,47.88,49.3,95.06,5.9,55.940
0,5.35,44.61,54.61,57.27,63.67,11.19,8.29,53.104
1,4.86,63.58,74.62,45.64,95.02,57.25,7.77,71.674
0,1.67,80.2,97.31,73.86,82.66,79.76,04.09,82.854
1,1.96,68.19,98.33,39.63,33.69,76.26,4.83,55.81
0,8.54,63.02,79.5,77.81,30.57,43.08,6.37,56.662
1,3.16,47.15,82.82,82.99,85.12,58.21,7.29,776.395
0,2.75,54.7,69.44,34.32,68.68,10.5,7.58,53.25
0,5.54,46.01,82.9,73.81,80.42,58.13,08.08,7.359
1,7.92,88.45,90.18,97.11,40.98,63.14,4.25,718.155
0,1.56,48.11,64.03,39.46,91.04,88.73,04.09,68.219
1,6.19,75.72,73.39,93.2,84.13,28.97,7.0,778.925
1,02.07,60.56,67.61,70.45,92.36,84.26,7.62,779.425
1,1.33,53.56,69.37,69.32,53.88,74.63,7.93,62.881
1,1.47,78.37,92.3,28.89,49.3,69.94,4.78,577.685
1,8.51,67.42,54.89,81.12,40.62,45.49,8.84,56.766
1,02.06,64.01,44.57,60.87,95.11,43.07,5.15,68.128
1,1.41,75.57,61.94,79.09,42.38,73.29,5.25,618.795
1,4.94,69.48,44.57,85.69,38.35,99.12,4.77,60.619
1,8.6,58.21,64.89,64.28,43.49,46.48,4.22,547.385
1,3.36,73.54,93.25,44.77,84.0,92.67,08.05,758.635
1,4.8,80.17,73.22,35.62,92.27,62.79,04.03,701.395
0,1.36,41.6,89.88,37.04,86.76,88.13,6.32,7.57
0,05.04,67.95,41.63,90.02,69.43,29.55,4.46,648.815
1,6.2,43.46,93.06,34.27,99.57,78.6,4.22,74.235
1,6.14,51.18,72.13,53.85,34.82,85.14,8.67,537.075
1,3.99,73.63,32.22,50.07,90.7,84.9,8.13,665.595
1,3.84,91.97,74.32,89.91,59.94,80.62,5.97,755.795
1,1.96,92.97,96.6,60.83,61.86,37.38,6.29,692.135
1,4.3,44.2,35.54,99.73,38.93,56.98,8.34,55.784
1,1.9,65.15,70.77,80.28,32.34,36.97,7.98,5.575
1,7.9,74.98,94.08,88.82,52.16,40.87,7.46,7.86
0,9.7,48.82,30.68,32.4,42.24,37.11,6.68,37.613
1,9.73,85.93,74.16,43.98,63.83,35.58,07.04,603.185
0,8.79,84.65,63.24,35.16,40.31,72.41,5.97,51.252
1,6.41,94.2,54.29,59.77,39.65,68.52,6.64,55.95
1,7.31,40.51,73.93,78.87,91.39,28.38,6.7,73.379
0,3.57,53.0,33.69,37.68,94.49,72.24,8.32,6.175
1,6.68,89.63,82.71,34.76,97.5,36.2,05.09,71.94
0,5.1,80.23,30.31,71.1,77.64,28.15,5.23,61.849
1,5.34,93.66,51.49,42.27,83.97,77.25,05.05,67.346
1,7.82,43.43,65.28,60.95,88.5,42.66,6.9,678.775
0,3.54,75.82,56.39,28.83,76.12,61.24,7.48,588.335
1,3.86,74.14,51.52,76.05,53.12,28.01,5.19,5.812
0,9.32,42.14,88.16,65.6,40.95,65.23,7.38,59.101
1,1.51,70.81,95.44,73.56,46.61,28.72,7.14,637.445
0,5.37,76.57,91.16,45.66,88.83,25.02,5.61,708.965
