id,run_id,expression,latex,fitness,dl,size,frequency,parameters,prediction
9e4ebd40-84f7-40ba-84a2-76ab9697d26d,,(((((m1 * t0) * m2) + ((m2 + m1) * t1)) / r) / r),,-4.220415867368914,,15,,"{""0"":1.0322159925142693,""1"":-0.08183078737921626}",
952b2bc2-81b1-434c-8cf4-d3d26644002b,,(((((m1 * t0) * m2) + ((m2 - r) * t1)) / r) / r),,-4.219398786129974,,15,,"{""0"":1.0243864755740795,""1"":-0.1416526514487993}",
29721f38-1575-417a-b732-e2d5810406df,,(((((m1 * t0) * m2) + (m2 * t1)) / r) / r),,-4.21711491100965,,13,,"{""0"":1.0281915723263642,""1"":-0.13607389561867542}",
5d1ceeb3-92dc-47c2-8dd0-5cc3e8f3211d,,(((((m1 * t0) * m2) + ((m2 * t1) * t2)) / r) / r),,-4.217115232415752,,15,,"{""0"":1.0281072072817874,""1"":-0.3407904717659637,""2"":0.3986582377142622}",
ff978e92-5160-4c37-9450-7f6064220188,,(((((m1 * t0) * m2) + (t1 * (m2 * m2))) / r) / r),,-4.217975944823669,,15,,"{""0"":1.0243410416857242,""1"":-0.014730374300884629}",
78063b2a-67b0-42fb-ab82-2b781532fa7f,,(((((m1 * t0) * m2) + (t1 * (m2 + m2))) / r) / r),,-4.217114911008981,,15,,"{""0"":1.0281917349305232,""1"":-0.06803748487336164}",
271b4451-a778-4f53-8db1-77deaa284475,,(((((m1 * t0) * m2) + (t1 * (m2 + r))) / r) / r),,-4.217154114347516,,15,,"{""0"":1.027662306720616,""1"":-0.10885666003988613}",
c0b80fc4-8fd6-4b53-87aa-7205a821de39,,(((((m1 * t0) * m2) + (t1 * (m2 + t2))) / r) / r),,-4.217113220996115,,15,,"{""0"":1.0280013621123294,""1"":-0.13913884987237574,""2"":-0.1493050203066639}",
1bed1ba9-4c7c-4999-ae10-4330d5a5f7ea,,((((m2 * m1) + (t0 * (m2 + t1))) / r) / (r + t2)),,-4.215308192253916,,15,,"{""0"":-0.21672726687048371,""1"":-0.6351549717849663,""2"":-0.048134200269394335}",
a48eefc2-6de7-44a2-837a-337fdb3bee3a,,(((t0 + (m2 * m1)) / r) / (r + (t1 / (m2 + t2)))),,-4.220202037179931,,15,,"{""0"":-0.6106144226668181,""1"":-0.1830216479806429,""2"":0.484666103350089}",
