id,run_id,expression,latex,fitness,dl,size,frequency,parameters,prediction
401bf46b-366d-4265-b2ad-05d5383569fa,,((((m1 * t0) / r) + (m2 * t1)) * (m2 / r)),,-0.0429622666712138,,13,,"{""0"":1.0024205081045396,""1"":-0.0007445034347255976}",
f5cd759f-06ad-4ea6-ab59-38757f9199b2,,(((m2 - (m2 * t0)) + (t1 * (m1 / r))) * (m2 / r)),,-0.04296226667121404,,15,,"{""0"":1.0007445034359195,""1"":1.002420508105437}",
3f9dfd35-1562-482e-ba0f-9f862ae44d0a,,(((m2 * t0) + ((m1 - (m1 * t1)) / r)) * (m2 / r)),,-0.04296226667121404,,15,,"{""0"":-0.0007445034311574144,""1"":-0.0024205080940981998}",
39b5ba3f-ea99-4040-9f38-429ff85f7900,,(((m2 * t0) + (m1 * (t1 / r))) * (m2 / r)),,-0.042962266671214056,,13,,"{""0"":-0.0007445034294648904,""1"":1.002420508088878}",
2189835e-1865-47c2-83a7-491485bb811d,,((((m2 * t0) + m2) + (t1 * (m1 / r))) * (m2 / r)),,-0.04296226667121406,,15,,"{""0"":-1.000744503507061,""1"":1.0024205082763644}",
ff8d29cd-b881-48ae-82e9-df85d7e9e451,,(((m2 * t0) + (t1 * (m1 / r))) * (m2 / r)),,-0.04296226667121399,,13,,"{""0"":-0.0007445033811086099,""1"":1.0024205079790904}",
0d43706b-857e-4392-8279-c642a2e7deb7,,(((t0 * (m1 + m2)) + ((m1 * t1) / r)) * (m2 / r)),,-0.04295088934165386,,15,,"{""0"":-0.0006037524515576716,""1"":1.0030690407274758}",
95d176e1-9367-478c-9caf-ec32e8dbcae3,,(((t0 * (m1 + m2)) + (t1 * (m1 / r))) * (m2 / r)),,-0.04295088934165408,,15,,"{""0"":-0.0006037526175744457,""1"":1.0030690413699268}",
3047420b-8392-4778-b2e1-e4e1c8ce3fd3,,(((t0 * (m1 / r)) + (m2 * t1)) * (m2 / r)),,-0.04296226667121395,,13,,"{""0"":1.002420508063668,""1"":-0.0007445034184075232}",
cec7aff2-0b55-4f36-a800-45f99fe8adbf,,(((t0 * (t1 - m2)) + (t2 * (m1 / r))) * (m2 / r)),,-0.0429618735635902,,15,,"{""0"":0.0006889093588304449,""1"":-0.7674388597240787,""2"":1.0024444532528407}",
