id,run_id,expression,latex,fitness,dl,size,frequency,parameters,prediction
77015942-e974-4d92-b371-d1f5a6d183fb,,(((m1 ^ (t0 * m2)) + (m2 * m1)) / (r * r)),,-4.531963728647462e-30,,13,,"{""0"":-20887400296.42277}",
6a65feb9-9038-46de-a48e-7be9d89bce30,,((((r * m1) ^ (t0 * m2)) + (m2 * m1)) / (r * r)),,-4.531963728647462e-30,,15,,"{""0"":-10000000000000000}",
9ab8bb9f-1208-4325-a36e-279bff4dc089,,(((t0 / (m1 / m2)) + (m2 * m1)) / (r * r)),,-4.531947237872313e-30,,13,,"{""0"":6.938893903907228e-17}",
b1128dce-a694-4bf7-8f00-36d84690b960,,(((t0 * (m1 - r)) + (m2 * m1)) / (r * r)),,-4.5319619953105124e-30,,13,,"{""0"":4.295252940057242e-17}",
8cb91a47-62c0-4a9c-86df-9031eb7e1508,,(((t0 / ((m2 * m1) ^ m1)) + (m2 * m1)) / (r * r)),,-4.531937054517732e-30,,15,,"{""0"":-2.220446049250313e-16}",
c919ffc6-fd41-4ea6-8f5d-7dac87f48b4e,,(((t0 / ((m2 * m1) ^ r)) + (m2 * m1)) / (r * r)),,-4.531844730251023e-30,,15,,"{""0"":-8.881784197001252e-16}",
fea86a9a-3f9a-4cc6-93c1-5439049a4220,,(((t0 * (m2 - (r / m1))) + (m2 * m1)) / (r * r)),,-4.5319624045706254e-30,,15,,"{""0"":5.329900924538985e-17}",
8343f467-055f-4c92-a7de-677154ead35d,,(((t0 * (m2 - (r + r))) + (m2 * m1)) / (r * r)),,-4.531959491601584e-30,,15,,"{""0"":7.200330845588203e-17}",
6c778ff6-09ad-48be-949e-7673ba03c080,,(((t0 / ((r * m1) ^ m2)) + (m2 * m1)) / (r * r)),,-4.5318527890641345e-30,,15,,"{""0"":-7.632783294297951e-16}",
909e57de-7aec-44b1-9ce4-34c2e20d9a14,,(((t0 * (r - (r + r))) + (m2 * m1)) / (r * r)),,-4.531962115681133e-30,,15,,"{""0"":2.7755575615628914e-17}",
